Player,GP,G,A,P,PM
Scott Coy,16,24,9,33,12
Mike Kari,21,15,17,32,8
Tyler Schwartz,23,8,18,26,14
Justin Stroud,15,10,6,16,2
Nick Gorse,17,5,6,11,4
Chris Adkins,13,5,6,11,4
Stuart Coy,20,4,6,10,16
Nathaniel Stuart,15,4,6,10,0
Dillon Crouch,18,4,6,10,14
Peter Stokes,17,0,9,9,18
Mike Matthews,14,3,4,7,4
Kyle Misewich,9,3,4,7,4
Sebastian Silley,11,3,2,5,8
Matt Kolec,19,1,2,3,8
Jason Harynuk,5,2,1,3,0
Kelsey Regan,17,1,1,2,26
Dan Guolla,3,1,1,2,0
Kerry Regan,10,1,1,2,12
Mark Seinen,2,2,0,2,0
Elan Swartz,1,1,1,2,0
Matteo Mitchell,1,0,1,1,4
Evan Kite,2,0,1,1,0
Stephen Reed,1,0,0,0,4
Andrew Herr,2,0,0,0,0
Kyle Randall,1,0,0,0,0
Logan Jones,1,0,0,0,0
Mikk Tammark,1,0,0,0,0
Alan Ho,1,0,0,0,0
Shane Adamson,1,0,0,0,0
